source,source_type,target,target_type,weight
头晕,0,脑血管病,1,560
便秘,0,高血压,1,387
便秘,0,冠心病,1,373
便秘,0,糖尿病,1,322
便秘,0,高脂血症,1,297
头晕,0,高血压,1,269
头晕,0,高脂血症,1,230
消化不良,0,胃炎,1,223
胸闷,0,高血压,1,222
便秘,0,脑血管病,1,219
头晕,0,精神和行为障碍,1,201
头痛,0,脑血管病,1,191
静脉曲张,0,糖尿病,1,190
便秘,0,精神和行为障碍,1,184
关节痛,0,糖尿病,1,182
便秘,0,骨质疏松症,1,139
关节痛,0,高血压,1,139
关节痛,0,冠心病,1,126
静脉曲张,0,高血压,1,115
静脉曲张,0,冠心病,1,114
便秘,0,胃炎,1,111
便秘,0,呼吸道感染,1,107
便秘,0,支气管炎,1,106
头晕,0,冠心病,1,105
胸闷,0,冠心病,1,103
消化不良,0,冠心病,1,100
消化不良,0,高血压,1,99
关节痛,0,高脂血症,1,98
消化不良,0,便秘,0,94
便秘,0,消化不良,0,94
消化不良,0,食管炎,1,92
关节痛,0,骨质疏松症,1,92
胸闷,0,高脂血症,1,91
头痛,0,精神和行为障碍,1,88
便秘,0,动脉粥样硬化,1,87
头痛,0,高血压,1,87
头晕,0,神经官能症,1,85
眩晕,0,脑血管病,1,85
静脉曲张,0,高脂血症,1,82
关节痛,0,支气管炎,1,80
便秘,0,代谢紊乱,1,79
消化不良,0,糖尿病,1,78
头痛,0,高脂血症,1,78
关节痛,0,脑血管病,1,70
咳嗽,0,呼吸道感染,1,69
头晕,0,动脉粥样硬化,1,68
关节痛,0,精神和行为障碍,1,66
胸闷,0,心律失常,1,65
消化不良,0,高脂血症,1,64
静脉曲张,0,脑血管病,1,64
胸痛,0,高血压,1,62
关节痛,0,呼吸道感染,1,59
发热,0,呼吸道感染,1,59
头痛,0,神经官能症,1,56
腹胀,0,胃炎,1,55
水肿,0,脑血管病,1,55
消化不良,0,肠道菌群失调,1,52
咳嗽,0,高血压,1,50
咳嗽,0,支气管炎,1,50
消化不良,0,胃肠功能紊乱,1,49
消化不良,0,腹胀,0,49
咳嗽,0,冠心病,1,49
腹胀,0,消化不良,0,49
眩晕,0,高血压,1,48
头晕,0,糖尿病,1,48
腹痛,0,胃炎,1,46
消化不良,0,支气管炎,1,45
头痛,0,冠心病,1,44
咳嗽,0,咽炎,1,43
便秘,0,帕金森病,1,43
静脉曲张,0,骨质疏松症,1,42
消化不良,0,消化性溃疡,1,41
头痛,0,头晕,0,41
腰痛,0,骨质疏松症,1,41
腰痛,0,冠心病,1,41
头晕,0,头痛,0,41
水肿,0,糖尿病,1,41
便秘,0,前列腺增生,1,41
腰痛,0,高血压,1,39
便秘,0,关节痛,0,39
便秘,0,肾小球疾病,1,39
便秘,0,心律失常,1,39
关节痛,0,便秘,0,39
消化不良,0,精神和行为障碍,1,38
水肿,0,高血压,1,38
胸闷,0,支气管炎,1,37
眩晕,0,精神和行为障碍,1,37
关节痛,0,腰痛,0,36
腰痛,0,关节痛,0,36
便秘,0,关节炎,1,36
头痛,0,呼吸道感染,1,35
关节痛,0,血瘀证,1,34
消化不良,0,骨质疏松症,1,34
水肿,0,高脂血症,1,34
便秘,0,肠道菌群失调,1,34
眩晕,0,冠心病,1,34
消化不良,0,脑血管病,1,34
便秘,0,肾功能不全,1,33
关节痛,0,咳嗽,0,33
咳嗽,0,关节痛,0,33
便秘,0,周围神经病,1,33
胸闷,0,脑血管病,1,33
关节痛,0,动脉粥样硬化,1,31
腹痛,0,肠道菌群失调,1,30
头晕,0,心律失常,1,30
咳嗽,0,高脂血症,1,29
头晕,0,脑动脉硬化,1,29
胸闷,0,动脉粥样硬化,1,29
胸闷,0,呼吸道感染,1,28
胸闷,0,精神和行为障碍,1,28
水肿,0,冠心病,1,28
胸闷,0,头晕,0,27
头晕,0,胸闷,0,27
胸闷,0,糖尿病,1,27
消化不良,0,呼吸道感染,1,26
胸闷,0,关节痛,0,26
腰痛,0,关节炎,1,26
关节痛,0,胸闷,0,26
头晕,0,颈椎退行性疾病,1,25
头痛,0,动脉粥样硬化,1,25
便秘,0,食管炎,1,25
咳嗽,0,脑血管病,1,25
头痛,0,支气管炎,1,25
胸痛,0,高脂血症,1,25
关节痛,0,胃炎,1,25
头痛,0,糖尿病,1,24
眩晕,0,高脂血症,1,24
咳嗽,0,精神和行为障碍,1,23
腹痛,0,消化性溃疡,1,23
腹胀,0,食管炎,1,23
头晕,0,骨质疏松症,1,23
静脉曲张,0,动脉粥样硬化,1,23
关节痛,0,关节炎,1,23
腹痛,0,食管炎,1,22
腰痛,0,颈椎退行性疾病,1,22
水肿,0,精神和行为障碍,1,22
静脉曲张,0,支气管炎,1,21
眩晕,0,血瘀证,1,21
消化不良,0,腹痛,0,21
胸痛,0,冠心病,1,21
腹痛,0,消化不良,0,21
消化不良,0,前列腺增生,1,21
胸闷,0,代谢紊乱,1,21
关节痛,0,肾小球疾病,1,21
头晕,0,代谢紊乱,1,20
关节痛,0,颈椎退行性疾病,1,20
静脉曲张,0,低血糖症,1,20
胸闷,0,血瘀证,1,19
咳嗽,0,胸闷,0,19
静脉曲张,0,精神和行为障碍,1,19
关节痛,0,动脉硬化,1,19
胸闷,0,咳嗽,0,19
腹痛,0,胃肠功能紊乱,1,19
腰痛,0,呼吸道感染,1,18
便秘,0,咳嗽,0,18
腰痛,0,腰椎退行性病变,1,18
咳嗽,0,便秘,0,18
静脉曲张,0,代谢紊乱,1,18
便秘,0,动脉硬化,1,18
腰痛,0,脑血管病,1,18
便秘,0,神经官能症,1,18
水肿,0,骨质疏松症,1,17
腰痛,0,精神和行为障碍,1,17
水肿,0,神经官能症,1,17
腰痛,0,糖尿病,1,17
腰痛,0,高脂血症,1,17
静脉曲张,0,呼吸道感染,1,17
咳嗽,0,血瘀证,1,17
水肿,0,静脉曲张,0,16
胸痛,0,支气管炎,1,16
便秘,0,甲状腺功能减退症,1,16
头晕,0,呼吸道感染,1,16
静脉曲张,0,水肿,0,16
头晕,0,周围神经病,1,16
便秘,0,胃肠功能紊乱,1,16
便秘,0,腹胀,0,15
眩晕,0,关节痛,0,15
静脉曲张,0,周围神经病,1,15
便秘,0,消化性溃疡,1,15
便秘,0,结膜炎,1,15
头晕,0,关节痛,0,15
腹胀,0,便秘,0,15
便秘,0,维生素缺乏,1,15
关节痛,0,眩晕,0,15
眩晕,0,心律失常,1,15
关节痛,0,头晕,0,15
头痛,0,周围神经病,1,14
消化不良,0,周围神经病,1,14
消化不良,0,关节炎,1,14
关节痛,0,咽炎,1,14
便秘,0,低血糖症,1,14
消化不良,0,肾功能不全,1,14
便秘,0,皮炎,1,14
关节痛,0,代谢紊乱,1,14
头晕,0,脑卒中,1,14
咳嗽,0,皮炎,1,14
胸闷,0,骨质疏松症,1,14
咳嗽,0,湿疹,1,14
腰痛,0,便秘,0,13
便秘,0,癌症,1,13
