source,source_type,target,target_type,weight
高脂血症,1,高血压,1,3896
冠心病,1,高脂血症,1,3205
冠心病,1,高血压,1,3156
动脉粥样硬化,1,高脂血症,1,2640
糖尿病,1,高血压,1,1893
精神和行为障碍,1,脑血管病,1,1796
脑血管病,1,高脂血症,1,1789
糖尿病,1,高脂血症,1,1669
动脉粥样硬化,1,高血压,1,1326
脑血管病,1,高血压,1,1169
精神和行为障碍,1,高脂血症,1,1135
动脉粥样硬化,1,脑血管病,1,1077
冠心病,1,糖尿病,1,1020
精神和行为障碍,1,高血压,1,946
动脉粥样硬化,1,糖尿病,1,829
冠心病,1,动脉粥样硬化,1,710
冠心病,1,脑血管病,1,688
动脉粥样硬化,1,精神和行为障碍,1,653
代谢紊乱,1,高脂血症,1,592
冠心病,1,精神和行为障碍,1,585
糖尿病,1,骨质疏松症,1,581
代谢紊乱,1,高血压,1,550
糖尿病,1,脑血管病,1,512
呼吸道感染,1,支气管炎,1,463
骨质疏松症,1,高脂血症,1,452
冠心病,1,心律失常,1,446
动脉硬化,1,高脂血症,1,441
心律失常,1,高血压,1,440
头晕,0,脑血管病,1,419
骨质疏松症,1,高血压,1,419
胃炎,1,食管炎,1,381
头晕,0,精神和行为障碍,1,369
动脉硬化,1,糖尿病,1,351
精神和行为障碍,1,糖尿病,1,349
消化不良,0,胃炎,1,342
代谢紊乱,1,冠心病,1,335
心律失常,1,高脂血症,1,307
代谢紊乱,1,糖尿病,1,305
支气管炎,1,高血压,1,302
低血糖症,1,糖尿病,1,291
冠心病,1,骨质疏松症,1,269
关节炎,1,骨质疏松症,1,269
头晕,0,高脂血症,1,263
支气管炎,1,糖尿病,1,256
干眼症,1,结膜炎,1,246
动脉粥样硬化,1,骨质疏松症,1,244
消化性溃疡,1,胃炎,1,243
头晕,0,高血压,1,241
糖尿病,1,肾小球疾病,1,241
代谢紊乱,1,动脉粥样硬化,1,238
支气管炎,1,高脂血症,1,233
冠心病,1,支气管炎,1,230
代谢紊乱,1,脑血管病,1,228
动脉硬化,1,高血压,1,220
代谢紊乱,1,肾功能不全,1,217
便秘,0,高血压,1,215
周围神经病,1,脑血管病,1,214
支气管炎,1,肾功能不全,1,201
便秘,0,高脂血症,1,190
呼吸道感染,1,高血压,1,189
呼吸道感染,1,糖尿病,1,187
呼吸道感染,1,咽炎,1,185
消化不良,0,食管炎,1,181
便秘,0,糖尿病,1,177
周围神经病,1,高脂血症,1,174
肾功能不全,1,高血压,1,173
脑血管病,1,骨质疏松症,1,172
神经官能症,1,精神和行为障碍,1,172
便秘,0,冠心病,1,166
便秘,0,精神和行为障碍,1,162
前列腺增生,1,尿路感染,1,162
消化不良,0,胃肠功能紊乱,1,161
周围神经病,1,精神和行为障碍,1,160
动脉粥样硬化,1,头晕,0,159
胃炎,1,胃肠功能紊乱,1,159
胸闷,0,高血压,1,154
发热,0,呼吸道感染,1,151
前列腺增生,1,高血压,1,147
头痛,0,精神和行为障碍,1,145
精神和行为障碍,1,骨质疏松症,1,144
肠道菌群失调,1,胃肠功能紊乱,1,143
代谢紊乱,1,支气管炎,1,141
呼吸道感染,1,高脂血症,1,140
冠心病,1,动脉硬化,1,135
甲状腺功能减退症,1,糖尿病,1,133
消化不良,0,肠道菌群失调,1,131
叶酸缺乏,1,高脂血症,1,130
帕金森病,1,精神和行为障碍,1,129
冠心病,1,前列腺增生,1,128
冠心病,1,呼吸道感染,1,127
便秘,0,脑血管病,1,126
胃炎,1,高血压,1,126
代谢紊乱,1,精神和行为障碍,1,125
肠道菌群失调,1,胃炎,1,123
消化性溃疡,1,食管炎,1,121
维生素缺乏,1,脑血管病,1,120
头痛,0,脑血管病,1,118
精神和行为障碍,1,维生素缺乏,1,117
消化不良,0,消化性溃疡,1,116
维生素缺乏,1,高脂血症,1,116
糖尿病,1,静脉曲张,0,114
肾功能不全,1,高脂血症,1,113
甲状腺功能减退症,1,高血压,1,112
支气管炎,1,骨质疏松症,1,110
眼底病,1,结膜炎,1,110
帕金森病,1,脑血管病,1,110
PCI术后,1,冠心病,1,110
甲状腺功能减退症,1,高脂血症,1,110
胃肠功能紊乱,1,食管炎,1,109
干眼症,1,眼底病,1,108
胸闷,0,高脂血症,1,107
肾小球疾病,1,高血压,1,107
动脉粥样硬化,1,支气管炎,1,107
周围神经病,1,高血压,1,106
支气管炎,1,精神和行为障碍,1,105
支气管炎,1,脑血管病,1,103
动脉粥样硬化,1,周围神经病,1,102
PCI术后,1,高脂血症,1,101
周围神经病,1,糖尿病,1,99
咽炎,1,支气管炎,1,99
消化不良,0,腹胀,0,97
冠心病,1,胸闷,0,96
代谢紊乱,1,骨质疏松症,1,96
消化性溃疡,1,胃肠功能紊乱,1,96
冠心病,1,头晕,0,95
冠心病,1,胃炎,1,95
胸闷,0,血瘀证,1,94
心律失常,1,精神和行为障碍,1,93
关节痛,0,高血压,1,92
叶酸缺乏,1,脑血管病,1,92
关节痛,0,糖尿病,1,91
低血糖症,1,高血压,1,91
支气管哮喘,1,支气管炎,1,90
关节炎,1,腰椎退行性病变,1,90
肠道菌群失调,1,食管炎,1,89
维生素缺乏,1,高血压,1,89
前列腺增生,1,高脂血症,1,87
糖尿病,1,维生素缺乏,1,85
胃炎,1,腹胀,0,84
冠心病,1,肾功能不全,1,84
动脉硬化,1,骨质疏松症,1,84
呼吸道感染,1,精神和行为障碍,1,83
便秘,0,消化不良,0,82
胃炎,1,高脂血症,1,82
叶酸缺乏,1,高血压,1,82
癫痫,1,精神和行为障碍,1,81
糖尿病,1,胃炎,1,80
关节炎,1,高血压,1,79
肝损害,1,胃炎,1,77
糖尿病,1,结膜炎,1,77
精神和行为障碍,1,胃炎,1,77
便秘,0,支气管炎,1,76
便秘,0,胃炎,1,76
癌症,1,肺癌,1,76
